Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Ball0:x
0.00000,0.05000,1.40000,0.00000,1.50000
0.00100,0.05000,1.40100,0.00000,1.50100
0.00200,0.05000,1.40200,0.00000,1.50200
0.00300,0.05000,1.40300,0.00000,1.50300
0.00400,0.05000,1.40400,0.00000,1.50400
0.00500,0.05000,1.40499,0.00000,1.50499
0.00600,0.05000,1.40599,0.00000,1.50599
0.00700,0.05000,1.40699,0.00000,1.50699
0.00800,0.05000,1.40799,0.00000,1.50799
0.00900,0.05000,1.40898,0.00000,1.50898
0.01000,0.05000,1.40998,0.00000,1.50998
0.01100,0.05000,1.41098,0.00000,1.51098
0.01200,0.05000,1.41197,0.00000,1.51197
0.01300,0.05000,1.41297,0.00000,1.51297
0.01400,0.05000,1.41396,0.00000,1.51396
0.01500,0.05000,1.41496,0.00000,1.51496
0.01600,0.05000,1.41595,0.00000,1.51595
0.01700,0.05000,1.41695,0.00000,1.51695
0.01800,0.05000,1.41794,0.00000,1.51794
0.01900,0.05000,1.41893,0.00000,1.51893
0.02000,0.05000,1.41993,0.00000,1.51993
0.02100,0.05000,1.42092,0.00000,1.52092
0.02200,0.05000,1.42191,0.00000,1.52191
0.02300,0.05000,1.42290,0.00000,1.52290
0.02400,0.05000,1.42389,0.00000,1.52389
0.02500,0.05000,1.42488,0.00000,1.52488
0.02600,0.05000,1.42587,0.00000,1.52587
0.02700,0.05000,1.42686,0.00000,1.52686
0.02800,0.05000,1.42785,0.00000,1.52785
0.02900,0.05000,1.42884,0.00000,1.52884
0.03000,0.05000,1.42983,0.00000,1.52983
0.03100,0.05000,1.43082,0.00000,1.53082
0.03200,0.05000,1.43181,0.00000,1.53181
0.03300,0.05000,1.43280,0.00000,1.53280
0.03400,0.05000,1.43379,0.00000,1.53379
0.03500,0.05000,1.43477,0.00000,1.53477
0.03600,0.05000,1.43576,0.00000,1.53576
0.03700,0.05000,1.43675,0.00000,1.53675
0.03800,0.05000,1.43773,0.00000,1.53773
0.03900,0.05000,1.43872,0.00000,1.53872
0.04000,0.05000,1.43970,0.00000,1.53970
0.04100,0.05000,1.44069,0.00000,1.54069
0.04200,0.05000,1.44167,0.00000,1.54167
0.04300,0.05000,1.44266,0.00000,1.54266
0.04400,0.05000,1.44364,0.00000,1.54364
0.04500,0.05000,1.44462,0.00000,1.54462
0.04600,0.05000,1.44561,0.00000,1.54561
0.04700,0.05000,1.44659,0.00000,1.54659
0.04800,0.05000,1.44757,0.00000,1.54757
0.04900,0.05000,1.44855,0.00000,1.54855
0.05000,0.05000,1.44953,0.00000,1.54953
0.05100,0.05000,1.45051,0.00000,1.55051
0.05200,0.05000,1.45149,0.00000,1.55149
0.05300,0.05000,1.45248,0.00000,1.55248
0.05400,0.05000,1.45345,0.00000,1.55345
0.05500,0.05000,1.45443,0.00000,1.55443
0.05600,0.05000,1.45541,0.00000,1.55541
0.05700,0.05000,1.45639,0.00000,1.55639
0.05800,0.05000,1.45737,0.00000,1.55737
0.05900,0.05000,1.45835,0.00000,1.55835
0.06000,0.05000,1.45932,0.00000,1.55932
0.06100,0.05000,1.46030,0.00000,1.56030
0.06200,0.05000,1.46128,0.00000,1.56128
0.06300,0.05000,1.46225,0.00000,1.56225
0.06400,0.05000,1.46323,0.00000,1.56323
0.06500,0.05000,1.46420,0.00000,1.56420
0.06600,0.05000,1.46518,0.00000,1.56518
0.06700,0.05000,1.46615,0.00000,1.56615
0.06800,0.05000,1.46713,0.00000,1.56713
0.06900,0.05000,1.46810,0.00000,1.56810
0.07000,0.05000,1.46907,0.00000,1.56907
0.07100,0.05000,1.47005,0.00000,1.57005
0.07200,0.05000,1.47102,0.00000,1.57102
0.07300,0.05000,1.47199,0.00000,1.57199
