Time,Spring_0:a_end,Spring_0:b_end,Ball0:x,Ball1:x
0.00000,0.10000,1.40000,0.00000,1.50000
0.01000,0.10002,1.39998,0.00002,1.49998
0.02000,0.10008,1.39992,0.00008,1.49992
0.03000,0.10017,1.39983,0.00017,1.49983
0.04000,0.10029,1.39971,0.00029,1.49971
0.05000,0.10044,1.39956,0.00044,1.49956
0.06000,0.10062,1.39938,0.00062,1.49938
0.07000,0.10082,1.39918,0.00082,1.49918
0.08000,0.10106,1.39894,0.00106,1.49894
0.09000,0.10133,1.39867,0.00133,1.49867
0.10000,0.10163,1.39837,0.00163,1.49837
0.11000,0.10196,1.39804,0.00196,1.49804
0.12000,0.10232,1.39768,0.00232,1.49768
0.13000,0.10270,1.39730,0.00270,1.49730
0.14000,0.10312,1.39688,0.00312,1.49688
0.15000,0.10357,1.39643,0.00357,1.49643
0.16000,0.10404,1.39596,0.00404,1.49596
0.17000,0.10455,1.39545,0.00455,1.49545
0.18000,0.10508,1.39492,0.00508,1.49492
0.19000,0.10564,1.39436,0.00564,1.49436
0.20000,0.10624,1.39376,0.00624,1.49376
0.21000,0.10686,1.39314,0.00686,1.49314
0.22000,0.10750,1.39250,0.00750,1.49250
0.23000,0.10818,1.39182,0.00818,1.49182
0.24000,0.10889,1.39111,0.00889,1.49111
0.25000,0.10962,1.39038,0.00962,1.49038
0.26000,0.11038,1.38962,0.01038,1.48962
0.27000,0.11117,1.38883,0.01117,1.48883
0.28000,0.11199,1.38801,0.01199,1.48801
0.29000,0.11284,1.38716,0.01284,1.48716
0.30000,0.11371,1.38629,0.01371,1.48629
0.31000,0.11461,1.38539,0.01461,1.48539
0.32000,0.11554,1.38446,0.01554,1.48446
0.33000,0.11649,1.38351,0.01649,1.48351
0.34000,0.11747,1.38253,0.01747,1.48253
0.35000,0.11848,1.38152,0.01848,1.48152
0.36000,0.11951,1.38049,0.01951,1.48049
0.37000,0.12057,1.37943,0.02057,1.47943
0.38000,0.12166,1.37834,0.02166,1.47834
0.39000,0.12277,1.37723,0.02277,1.47723
0.40000,0.12391,1.37609,0.02391,1.47609
0.41000,0.12507,1.37493,0.02507,1.47493
0.42000,0.12626,1.37374,0.02626,1.47374
0.43000,0.12747,1.37253,0.02747,1.47253
0.44000,0.12870,1.37130,0.02870,1.47130
0.45000,0.12996,1.37004,0.02996,1.47004
0.46000,0.13125,1.36875,0.03125,1.46875
0.47000,0.13256,1.36744,0.03256,1.46744
0.48000,0.13389,1.36611,0.03389,1.46611
0.49000,0.13524,1.36476,0.03524,1.46476
0.50000,0.13662,1.36338,0.03662,1.46338
0.51000,0.13802,1.36198,0.03802,1.46198
0.52000,0.13945,1.36055,0.03945,1.46055
0.53000,0.14089,1.35911,0.04089,1.45911
0.54000,0.14236,1.35764,0.04236,1.45764
0.55000,0.14385,1.35615,0.04385,1.45615
0.56000,0.14536,1.35464,0.04536,1.45464
0.57000,0.14689,1.35311,0.04689,1.45311
0.58000,0.14844,1.35156,0.04844,1.45156
0.59000,0.15001,1.34999,0.05001,1.44999
0.60000,0.15160,1.34840,0.05160,1.44840
0.61000,0.15321,1.34679,0.05321,1.44679
0.62000,0.15484,1.34516,0.05484,1.44516
0.63000,0.15649,1.34351,0.05649,1.44351
0.64000,0.15816,1.34184,0.05816,1.44184
0.65000,0.15985,1.34015,0.05985,1.44015
0.66000,0.16155,1.33845,0.06155,1.43845
0.67000,0.16328,1.33672,0.06328,1.43672
0.68000,0.16502,1.33498,0.06502,1.43498
0.69000,0.16677,1.33323,0.06677,1.43323
0.70000,0.16855,1.33145,0.06855,1.43145
0.71000,0.17034,1.32966,0.07034,1.42966
0.72000,0.17214,1.32786,0.07214,1.42786
0.73000,0.17396,1.32604,0.07396,1.42604
0.74000,0.17580,1.32420,0.07580,1.42420
0.75000,0.17765,1.32235,0.07765,1.42235
0.76000,0.17952,1.32048,0.07952,1.42048
0.77000,0.18140,1.31860,0.08140,1.41860
0.78000,0.18329,1.31671,0.08329,1.41671
0.79000,0.18520,1.31480,0.08520,1.41480
0.80000,0.18712,1.31288,0.08712,1.41288
0.81000,0.18905,1.31095,0.08905,1.41095
0.82000,0.19100,1.30900,0.09100,1.40900
0.83000,0.19295,1.30705,0.09295,1.40705
0.84000,0.19492,1.30508,0.09492,1.40508
0.85000,0.19690,1.30310,0.09690,1.40310
0.86000,0.19889,1.30111,0.09889,1.40111
0.87000,0.20089,1.29911,0.10089,1.39911
0.88000,0.20290,1.29710,0.10290,1.39710
0.89000,0.20492,1.29508,0.10492,1.39508
0.90000,0.20695,1.29305,0.10695,1.39305
0.91000,0.20899,1.29101,0.10899,1.39101
0.92000,0.21103,1.28897,0.11103,1.38897
0.93000,0.21308,1.28692,0.11308,1.38692
0.94000,0.21514,1.28486,0.11514,1.38486
0.95000,0.21721,1.28279,0.11721,1.38279
0.96000,0.21928,1.28072,0.11928,1.38072
0.97000,0.22136,1.27864,0.12136,1.37864
0.98000,0.22345,1.27655,0.12345,1.37655
0.99000,0.22554,1.27446,0.12554,1.37446
1.00000,0.22764,1.27236,0.12764,1.37236
1.01000,0.22974,1.27026,0.12974,1.37026
1.02000,0.23184,1.26816,0.13184,1.36816
1.03000,0.23395,1.26605,0.13395,1.36605
1.04000,0.23606,1.26394,0.13606,1.36394
