Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Ball0:x,Ball1:x
0.00000,0.05000,1.40000,0.00000,1.50000,1.80000
0.00100,0.05000,1.40050,0.00000,1.50050,1.80000
0.00200,0.05000,1.40100,0.00000,1.50100,1.80000
0.00300,0.05000,1.40150,0.00000,1.50150,1.80000
0.00400,0.05000,1.40200,0.00000,1.50200,1.80000
0.00500,0.05000,1.40249,0.00000,1.50249,1.80000
0.00600,0.05000,1.40299,0.00000,1.50299,1.80000
0.00700,0.05000,1.40349,0.00000,1.50349,1.80000
0.00800,0.05000,1.40399,0.00000,1.50399,1.80000
0.00900,0.05000,1.40448,0.00000,1.50448,1.80000
0.01000,0.05000,1.40498,0.00000,1.50498,1.80000
0.01100,0.05000,1.40548,0.00000,1.50548,1.80000
0.01200,0.05000,1.40597,0.00000,1.50597,1.80000
0.01300,0.05000,1.40647,0.00000,1.50647,1.80000
0.01400,0.05000,1.40696,0.00000,1.50696,1.80000
0.01500,0.05000,1.40746,0.00000,1.50746,1.80000
0.01600,0.05000,1.40795,0.00000,1.50795,1.80000
0.01700,0.05000,1.40845,0.00000,1.50845,1.80000
0.01800,0.05000,1.40894,0.00000,1.50894,1.80000
0.01900,0.05000,1.40943,0.00000,1.50943,1.80000
0.02000,0.05000,1.40993,0.00000,1.50993,1.80000
0.02100,0.05000,1.41042,0.00000,1.51042,1.80000
0.02200,0.05000,1.41091,0.00000,1.51091,1.80000
0.02300,0.05000,1.41140,0.00000,1.51140,1.80000
0.02400,0.05000,1.41189,0.00000,1.51189,1.80000
0.02500,0.05000,1.41239,0.00000,1.51239,1.80000
0.02600,0.05000,1.41288,0.00000,1.51288,1.80000
0.02700,0.05000,1.41337,0.00000,1.51337,1.80000
0.02800,0.05000,1.41386,0.00000,1.51386,1.80000
0.02900,0.05000,1.41435,0.00000,1.51435,1.80000
0.03000,0.05000,1.41484,0.00000,1.51484,1.80000
0.03100,0.05000,1.41532,0.00000,1.51532,1.80000
0.03200,0.05000,1.41581,0.00000,1.51581,1.80000
0.03300,0.05000,1.41630,0.00000,1.51630,1.80000
0.03400,0.05000,1.41679,0.00000,1.51679,1.80000
0.03500,0.05000,1.41728,0.00000,1.51728,1.80000
0.03600,0.05000,1.41776,0.00000,1.51776,1.80000
0.03700,0.05000,1.41825,0.00000,1.51825,1.80000
0.03800,0.05000,1.41874,0.00000,1.51874,1.80000
0.03900,0.05000,1.41922,0.00000,1.51922,1.80000
0.04000,0.05000,1.41971,0.00000,1.51971,1.80000
0.04100,0.05000,1.42019,0.00000,1.52019,1.80000
0.04200,0.05000,1.42068,0.00000,1.52068,1.80000
0.04300,0.05000,1.42116,0.00000,1.52116,1.80000
0.04400,0.05000,1.42165,0.00000,1.52165,1.80000
0.04500,0.05000,1.42213,0.00000,1.52213,1.80000
0.04600,0.05000,1.42261,0.00000,1.52261,1.80000
0.04700,0.05000,1.42310,0.00000,1.52310,1.80000
0.04800,0.05000,1.42358,0.00000,1.52358,1.80000
0.04900,0.05000,1.42406,0.00000,1.52406,1.80000
0.05000,0.05000,1.42454,0.00000,1.52454,1.80000
0.05100,0.05000,1.42503,0.00000,1.52503,1.80000
0.05200,0.05000,1.42551,0.00000,1.52551,1.80000
0.05300,0.05000,1.42599,0.00000,1.52599,1.80000
0.05400,0.05000,1.42647,0.00000,1.52647,1.80000
0.05500,0.05000,1.42695,0.00000,1.52695,1.80000
0.05600,0.05000,1.42743,0.00000,1.52743,1.80000
0.05700,0.05000,1.42791,0.00000,1.52791,1.80000
0.05800,0.05000,1.42839,0.00000,1.52839,1.80000
0.05900,0.05000,1.42886,0.00000,1.52886,1.80000
0.06000,0.05000,1.42934,0.00000,1.52934,1.80000
0.06100,0.05000,1.42982,0.00000,1.52982,1.80000
0.06200,0.05000,1.43030,0.00000,1.53030,1.80000
