Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Block0:x
0.00000,0.05000,1.45000,0.00000,1.50000
0.01000,0.05000,1.44997,0.00000,1.49997
0.02000,0.05000,1.44990,0.00000,1.49990
0.03000,0.05000,1.44978,0.00000,1.49978
0.04000,0.05000,1.44962,0.00000,1.49962
0.05000,0.05000,1.44942,0.00000,1.49942
0.06000,0.05000,1.44919,0.00000,1.49919
0.07000,0.05000,1.44891,0.00000,1.49891
0.08000,0.05000,1.44859,0.00000,1.49859
0.09000,0.05000,1.44824,0.00000,1.49824
0.10000,0.05000,1.44785,0.00000,1.49785
0.11000,0.05000,1.44741,0.00000,1.49741
0.12000,0.05000,1.44694,0.00000,1.49694
0.13000,0.05000,1.44643,0.00000,1.49643
0.14000,0.05000,1.44587,0.00000,1.49587
0.15000,0.05000,1.44528,0.00000,1.49528
0.16000,0.05000,1.44465,0.00000,1.49465
0.17000,0.05000,1.44398,0.00000,1.49398
0.18000,0.05000,1.44327,0.00000,1.49327
0.19000,0.05000,1.44253,0.00000,1.49253
0.20000,0.05000,1.44174,0.00000,1.49174
0.21000,0.05000,1.44092,0.00000,1.49092
0.22000,0.05000,1.44005,0.00000,1.49005
0.23000,0.05000,1.43915,0.00000,1.48915
0.24000,0.05000,1.43821,0.00000,1.48821
0.25000,0.05000,1.43723,0.00000,1.48723
0.26000,0.05000,1.43621,0.00000,1.48621
0.27000,0.05000,1.43516,0.00000,1.48516
0.28000,0.05000,1.43406,0.00000,1.48406
0.29000,0.05000,1.43293,0.00000,1.48293
0.30000,0.05000,1.43176,0.00000,1.48176
0.31000,0.05000,1.43055,0.00000,1.48055
0.32000,0.05000,1.42931,0.00000,1.47931
0.33000,0.05000,1.42803,0.00000,1.47803
0.34000,0.05000,1.42671,0.00000,1.47671
0.35000,0.05000,1.42535,0.00000,1.47535
0.36000,0.05000,1.42395,0.00000,1.47395
0.37000,0.05000,1.42252,0.00000,1.47252
0.38000,0.05000,1.42105,0.00000,1.47105
0.39000,0.05000,1.41955,0.00000,1.46955
0.40000,0.05000,1.41801,0.00000,1.46801
0.41000,0.05000,1.41643,0.00000,1.46643
0.42000,0.05000,1.41481,0.00000,1.46481
0.43000,0.05000,1.41316,0.00000,1.46316
0.44000,0.05000,1.41148,0.00000,1.46148
0.45000,0.05000,1.40975,0.00000,1.45975
0.46000,0.05000,1.40799,0.00000,1.45799
0.47000,0.05000,1.40620,0.00000,1.45620
0.48000,0.05000,1.40437,0.00000,1.45437
0.49000,0.05000,1.40251,0.00000,1.45251
0.50000,0.05000,1.40061,0.00000,1.45061
0.51000,0.05000,1.39868,0.00000,1.44868
0.52000,0.05000,1.39671,0.00000,1.44671
0.53000,0.05000,1.39471,0.00000,1.44471
0.54000,0.05000,1.39267,0.00000,1.44267
0.55000,0.05000,1.39060,0.00000,1.44060
